mapping,objective_value,train_n_days,train_risk_free_rate,train_total_return,train_annual_return,train_annual_vol,train_sharpe,train_max_drawdown,train_calmar,train_final_nav,train_avg_turnover,train_total_turnover
0->rebound; 1->cash; 2->aggressive; 3->defensive,-1.2897772396281462,1924,0.009636226611226612,-0.6104016886335346,-0.11614667954803937,0.09752296931176292,-1.2897772396281462,-0.6389021108666166,-0.1817910405562696,0.38959831136646544,0.6359667359667359,1223.6
0->defensive; 1->rebound; 2->aggressive; 3->cash,-2.1337016558236397,1924,0.009636226611226612,-0.7890721372036473,-0.18440039994969648,0.09093896798145483,-2.1337016558236397,-0.8026808875727477,-0.22973064739003657,0.2109278627963527,0.9636694386694385,1854.0999999999997
0->cautious; 1->rebound; 2->aggressive; 3->cash,-2.1359692831548758,1924,0.009636226611226612,-0.7894582477691798,-0.18459610223637857,0.0909340459057162,-2.1359692831548758,-0.8030420868618299,-0.2298710182896552,0.21054175223082022,0.9635654885654885,1853.8999999999999
0->defensive; 1->rebound; 2->cash; 3->aggressive,-2.216992154921226,1924,0.009636226611226612,-0.7607778493184647,-0.17084220419627028,0.08140688743840398,-2.216992154921226,-0.762639354824686,-0.22401440879685933,0.2392221506815353,0.9543139293139292,1836.1
0->cautious; 1->rebound; 2->cash; 3->aggressive,-2.2194971356091733,1924,0.009636226611226612,-0.7612162180280515,-0.17104137096353733,0.08140474464959124,-2.2194971356091733,-0.7630743123711998,-0.2241477247897892,0.23878378197194855,0.9542099792099791,1835.8999999999996
0->defensive; 1->cautious; 2->aggressive; 3->cash,-2.232077940069353,1924,0.009636226611226612,-0.796979869355513,-0.1884720942105126,0.08875510897956537,-2.232077940069353,-0.8106285321333195,-0.23250118487010724,0.20302013064448693,0.9639812889812889,1854.6999999999998
0->rebound; 1->cautious; 2->aggressive; 3->cash,-2.238628696166698,1924,0.009636226611226612,-0.7980825904360703,-0.18905079322656193,0.08875389660554654,-2.238628696166698,-0.8116571193429215,-0.2329195281125709,0.20191740956392965,0.9635654885654884,1853.8999999999996
0->cautious; 1->defensive; 2->aggressive; 3->cash,-2.262860696487388,1924,0.009636226611226612,-0.8005413640522778,-0.19035109224943192,0.08837809555448839,-2.262860696487388,-0.8141353451592619,-0.23380767507667324,0.19945863594772217,0.9637214137214136,1854.1999999999998
0->rebound; 1->defensive; 2->aggressive; 3->cash,-2.26709737646468,1924,0.009636226611226612,-0.8012609420246496,-0.19073426887419453,0.0883819537552814,-2.26709737646468,-0.8148058807358761,-0.23408553298846663,0.19873905797535038,0.9634095634095634,1853.6
0->defensive; 1->cautious; 2->cash; 3->aggressive,-2.3557044599740187,1924,0.009636226611226612,-0.7721382657155269,-0.17610922027725007,0.07884921476547414,-2.3557044599740187,-0.7746237795461535,-0.22734806873658228,0.22786173428447304,0.96008316008316,1847.1999999999998
