Date,SPY_ret,SPY_vol_21d,VIX_level,TLT_ret,GLD_ret,UUP_ret,curve_slope_10y2y,corr_60d_SPY_TLT,hmm_state,hmm_regime
2017-04-12,-0.0043817475435240505,0.06780721651369293,15.77,0.0054732057047344185,0.006848708526302261,-0.004996199588887529,1.0399999999999998,-0.40057814023620053,0,risk-on
2017-04-13,-0.006495070737801423,0.06252043702909618,15.96,0.0030869896351388704,0.004753327440255584,0.003476243565266657,1.0300000000000002,-0.4032755727231095,0,risk-on
2017-04-17,0.0088598255177319,0.07124006546938523,14.66,-0.0030774894570826383,-0.0029363785144597143,-0.00269419437833307,1.0499999999999998,-0.4339208499266428,0,risk-on
2017-04-18,-0.002984175366312236,0.07162357890275363,14.42,0.013079485938386481,0.004744780836792861,-0.008490923474089973,1.0000000000000002,-0.4421902361183999,0,risk-on
2017-04-19,-0.001838757475988162,0.07173062017728393,14.93,-0.00545280964674244,-0.008874751669109227,0.003503305905385945,1.02,-0.4212575988427751,0,risk-on
2017-04-20,0.008139330966052682,0.0631678395147789,14.15,-0.0038703263761384887,0.0018893945151714497,0.0003878972888466947,1.0300000000000002,-0.41441358471140327,0,risk-on
2017-04-21,-0.0031867677902035485,0.06384859965208745,14.63,0.0,0.002869785198997832,0.0007753081076926627,1.0400000000000003,-0.37188117264139964,0,risk-on
2017-04-24,0.01099783648393049,0.0740100106054202,10.84,-0.004937905701043022,-0.006785994714839205,-0.009298623062286349,1.0299999999999998,-0.38544032846541626,0,risk-on
2017-04-25,0.0058184174175364145,0.07592944449919294,10.76,-0.012039376282170333,-0.01012514792249386,-0.002737581182848725,1.06,-0.40295796678856244,0,risk-on
2017-04-26,-0.0006287724017601803,0.07581100455208518,10.85,0.005517321889528581,0.004906411642411568,0.0023529395196808522,1.0399999999999998,-0.4276742697645326,0,risk-on
2017-04-27,0.0008389438843379171,0.07226657226043494,10.36,-0.0003277056354441532,-0.003723907769742074,0.0015649441275700227,1.0499999999999998,-0.42778074910262226,0,risk-on
2017-04-28,-0.0021792391188081295,0.07292446984943038,10.82,0.002211453367970684,0.0031563917531056696,-0.0011718741780643027,1.01,-0.4345364369347726,0,risk-on
2017-05-01,0.0025202189353918936,0.07265483729787675,10.11,-0.008313194079222153,-0.00910821418667418,0.0007822596799720305,1.05,-0.4359460118898228,0,risk-on
2017-05-02,0.0003769564035167594,0.07193414797711503,10.59,0.005120062416257287,-0.00016709284143223702,-0.0015633432334313246,1.02,-0.4390159406793483,0,risk-on
