,train_activation_rate,mutual_info_mean,target_count,spy_up_next,tlt_up_next,gld_up_next,risk_off_next,is_cross_asset,passes_activation_rate
GLD_breakout_20d,0.14202745,0.0001859025410996945,4,2.1219441369096925e-05,9.153594648919627e-05,0.0004976892619665829,0.0001331655145739019,False,True
GLD_volume_dryup,0.18690602,0.00018493082252363235,4,0.0003933107166129157,7.813742610274232e-06,4.386227113184482e-07,0.000338160208160021,False,True
GLD_breakdown_20d,0.10084477,0.00018355961483476624,4,0.00014060496678719447,0.00021990722317938305,0.0002578589808593934,0.00011586728851309402,False,True
VIX_gap_up,0.20432946,0.0001809838557400023,4,0.0004781272790264912,4.5774129949938125e-05,6.313968902343925e-05,0.00013689432496014065,False,True
HYG_breakout_20d,0.18954593,0.00017330935653404184,4,0.0002320593039538965,4.673905426383351e-06,0.00036631405615972223,9.019016059616525e-05,False,True
SPY_ret_up_large,0.20116156,0.00016827697739413977,4,0.00042174891761112554,2.1019002259869968e-05,0.00014453245803039416,8.580753167516941e-05,False,True
UUP_volume_dryup,0.17265047,0.0001593838040455861,4,0.00042214607582727326,4.903844934905921e-05,3.2200071377552764e-05,0.0001341506196284592,False,True
HYG_breakdown_20d,0.09134108,0.00015413893344615529,4,0.0002421414236107866,9.187336183591466e-05,0.00017272135296972357,0.0001098195953681963,False,True
UUP_vol_regime_down,0.23970433,0.0001535921384653513,4,0.00018044263232977475,6.513964442497744e-05,0.00019547850420587043,0.00017330777290078259,False,True
GLD_vol_regime_up,0.19324182,0.00015354523265034142,4,6.224871707888324e-05,0.0001637334729036044,7.790066267701623e-05,0.0003102980779418618,False,True
VIX_breakout_20d,0.07550158,0.0001416061099030301,4,0.00010939052350035505,0.0003015430514156092,0.00014618661253766596,9.304252158490178e-06,False,True
SPY_vol_regime_down,0.24234425,0.00013949958814892666,4,9.699814673078122e-05,0.00036952382614985346,8.828123836548962e-05,3.19514134958232e-06,False,True
TLT_range_expand,0.2122492,0.0001336590533605811,4,2.2647262284597458e-05,1.9692388929459792e-05,0.0001365620954383029,0.00035573446678996423,False,True
TLT_volume_spike,0.041710664,0.0001310135838711382,4,5.170283322633584e-05,0.00034345515182028497,2.8024596604669938e-05,0.00010087175383326208,False,True
usd_stress,0.060718056,0.00012308917390470991,4,0.00019694432974916298,1.3758618730430605e-06,0.00029403290107153646,3.6029250971569837e-09,True,True
SPY_vol_regime_up,0.22650476,0.00011909654626521965,4,0.00026356781094696857,7.87910333205355e-06,5.564728591658796e-05,0.0001492919848652685,False,True
